LAT,LON,X==EW,Y==NS,Z,SLIP
-31.1186,-72.1444,-49.0248,53.3174,11.81,6.917
-31.0112,-72.1311,-47.8129,65.2651,11.81,7.9833
-30.9038,-72.1179,-46.5981,77.2126,11.81,5.8339
-30.7964,-72.1046,-45.3803,89.1599,11.81,4.8997
-30.689,-72.0913,-44.1499,101.1072,11.81,4.1123
-30.5816,-72.0781,-42.9358,113.0542,11.81,3.7095
-30.4742,-72.0648,-41.7043,125.0011,11.81,4.2035
-30.3668,-72.0516,-40.4747,136.9478,11.81,3.6748
-30.2594,-72.0383,-39.2421,148.8944,11.81,3.0351
-30.152,-72.0251,-38.0066,160.8408,11.81,1.8492
-30.0446,-72.0118,-36.7683,172.7871,11.81,1.0922
-29.9372,-71.9986,-35.5318,184.7332,11.81,0.0822
-29.8298,-71.9853,-34.2828,196.6792,11.81,0.1153
-32.4153,-72.216,-55.1211,-90.8969,14.675,0.2705
-32.3079,-72.2027,-53.9362,-78.9484,14.675,0.1884
-32.2005,-72.1895,-52.7482,-67.0001,14.675,0.5582
-32.0931,-72.1762,-51.5572,-55.0519,14.675,0.5088
-31.9857,-72.1629,-50.3536,-43.1039,14.675,0.1095
-31.8783,-72.1497,-49.1612,-31.156,14.675,0.4526
-31.7709,-72.1364,-47.961,-19.2083,14.675,0.2242
-31.6635,-72.1232,-46.7578,-7.2608,14.675,2.2347
-31.5561,-72.1099,-45.5516,4.6866,14.675,3.9563
-31.4487,-72.0967,-44.3423,16.6339,14.675,3.979
-31.3413,-72.0834,-43.1253,28.581,14.675,5.4617
-31.2339,-72.0702,-41.9149,40.5279,14.675,6.0611
-31.1265,-72.0569,-40.6919,52.4748,14.675,7.4355
-31.0191,-72.0437,-39.4802,64.4214,14.675,7.9824
-30.9117,-72.0304,-38.2465,76.3679,14.675,6.1823
-30.8043,-72.0172,-37.029,88.3142,14.675,5.0641
-30.6969,-72.0039,-35.7894,100.2604,14.675,4.4254
-30.5895,-71.9907,-34.5659,112.2064,14.675,4.2516
-30.4821,-71.9774,-33.3252,124.1523,14.675,3.7701
-30.3747,-71.9642,-32.0864,136.0981,14.675,3.4044
-30.2673,-71.9509,-30.8446,148.0437,14.675,1.4951
-30.1599,-71.9377,-29.5999,159.9891,14.675,0.8995
-30.0525,-71.9244,-28.3524,171.9344,14.675,0.9132
-29.9451,-71.9111,-27.0971,183.8795,14.675,0.0072
-29.8377,-71.8979,-25.8486,195.8245,14.675,0.1259
-32.4231,-72.1285,-46.9034,-91.723,17.54,0.9189
-32.3157,-72.1153,-45.7183,-79.7756,17.54,0.6348
-32.2083,-72.102,-44.5113,-67.8282,17.54,1.2145
-32.1009,-72.0888,-43.3202,-55.8811,17.54,0.6161
-31.9935,-72.0755,-42.1118,-43.9341,17.54,0.3508
-31.8861,-72.0623,-40.9052,-31.9872,17.54,0.4666
-31.7787,-72.049,-39.6955,-20.0405,17.54,0.6492
-31.6713,-72.0358,-38.4829,-8.094,17.54,2.4226
-31.5639,-72.0225,-37.2672,3.8524,17.54,3.5996
